Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
19:33:7:840;0;3600;25;-0,00;0,00;0,00;5005,49643;5001,3213;5007,25264;5002,9607;
19:33:8:875;0;3600;25;-0,00;0,00;0,00;5005,48695;5001,31838;5007,25368;5002,95337;
19:33:9:891;0;3600;25;-0,00;0,00;0,00;5005,49108;5001,32571;5007,2612;5002,95919;
19:33:10:907;0;3600;25;-0,00;0,00;0,00;5005,48382;5001,32696;5007,25979;5002,95684;
19:33:11:925;0;3600;25;-0,00;0,00;0,00;5005,48301;5001,32849;5007,26172;5002,96015;
19:33:12:926;0;3600;25;-0,00;0,00;0,00;5005,48747;5001,33003;5007,2614;5002,965;
19:33:13:928;0;3600;25;-0,00;0,00;0,00;5005,48452;5001,32381;5007,26644;5002,95981;
19:33:14:961;0;3600;25;-0,00;0,00;0,00;5005,47911;5001,32897;5007,26622;5002,96478;
19:33:15:980;0;3600;25;-0,00;0,00;0,00;5005,48649;5001,32154;5007,26611;5002,96596;
19:33:16:996;0;3600;25;-0,00;0,00;0,00;5005,48915;5001,32414;5007,26214;5002,95967;
19:33:17:981;0;3600;25;-0,00;0,00;0,00;5005,49575;5001,33151;5007,2641;5002,96262;
19:33:19:13;0;3600;25;-0,00;0,00;0,00;5005,48005;5001,31984;5007,25746;5002,9553;
19:33:20:30;0;3600;25;-0,00;0,00;0,00;5005,48389;5001,32156;5007,25448;5002,9562;
19:33:21:48;0;3600;25;-0,00;0,00;0,00;5005,47543;5001,32247;5007,25497;5002,95729;
19:33:22:49;0;3600;25;-0,00;0,00;0,00;5005,49382;5001,32063;5007,25908;5002,95768;
19:33:23:50;0;3600;25;-0,00;0,00;0,00;5005,48429;5001,31735;5007,25386;5002,96166;
19:33:24:70;0;3600;25;-0,00;0,00;0,00;5005,48779;5001,32361;5007,25052;5002,96038;
19:33:25:86;0;3600;25;-0,00;0,00;0,00;5005,48882;5001,32331;5007,25391;5002,96868;
19:33:26:103;0;3600;25;-0,00;0,00;0,00;5005,47989;5001,32562;5007,25084;5002,96466;
19:33:27:120;0;3600;25;-0,00;0,00;0,00;5005,484;5001,3273;5007,26012;5002,96924;
19:33:28:137;0;3600;25;-0,00;0,00;0,00;5005,48465;5001,32696;5007,25456;5002,97061;
19:33:29:138;0;3600;25;-0,00;0,00;0,00;5005,48648;5001,31769;5007,26245;5002,96754;
19:33:30:156;0;3600;25;-0,00;0,00;0,00;5005,47691;5001,31932;5007,25702;5002,96205;
19:33:31:158;0;3600;25;-0,00;0,00;0,00;5005,48555;5001,32837;5007,25632;5002,95359;
19:33:32:177;0;3600;25;-0,00;0,00;0,00;5005,48305;5001,31998;5007,25696;5002,95993;
19:33:33:192;0;3600;25;-0,00;0,00;0,00;5005,48847;5001,33112;5007,25602;5002,95484;
19:33:34:194;0;3600;25;-0,00;0,00;0,00;5005,49381;5001,30669;5007,25764;5002,96019;
19:33:35:242;0;3600;25;-0,00;0,00;0,00;5005,49047;5001,32342;5007,25694;5002,96407;
19:33:36:245;0;3600;25;-0,00;0,00;0,00;5005,49239;5001,33234;5007,25588;5002,95782;
19:33:37:247;0;3600;25;-0,00;0,00;0,00;5005,48578;5001,31802;5007,25936;5002,95813;
19:33:38:248;0;3600;25;-0,00;0,00;0,00;5005,48795;5001,31798;5007,25384;5002,95648;
